,Ferrari,Schneider Electric,NVIDIA,S&P 500
2025-12-19,279.3895709143943,203.43966654611188,135.04984342496164,5105.938752540192
2025-12-22,277.317609186036,203.88272815063272,137.15018758242573,5142.01558566273
2025-12-23,275.89001901079274,202.9658045569692,140.29764453260273,5129.800588015032
2025-12-24,275.3123163985144,202.22232250576377,139.40043540804794,5129.68235431213
2025-12-29,275.2131721192944,202.95303931835963,139.2804394922286,5116.394039782769
2025-12-30,272.54118554492067,202.46346259655678,138.63638944001607,5104.169521317703
2025-12-31,271.2840133188116,201.7752471744435,138.31593229556884,5083.091743158247
2026-01-02,272.8639173592195,203.56700248235708,139.99184570290467,5090.288208801817
2026-01-05,279.01738474052144,206.6475756808614,139.82084077062345,5136.229173303342
2026-01-06,271.6981106548497,205.11461767620875,138.17936394689048,5131.388420824547
2026-01-07,268.5999147026646,208.38956005057906,139.9050356332709,5126.402548677317
2026-01-08,272.3904539129834,200.2468984917105,137.31352881938693,5142.506162265765
2026-01-09,276.75080921766516,201.15263210103748,137.39747082664752,5184.013217162725
2026-01-12,278.4007313702441,202.348121369731,137.90615933077345,5209.160275602409
2026-01-13,264.3626101746922,203.48080377105535,137.8199830007779,5171.482334468946
2026-01-14,260.19488809665313,197.24131075113502,136.23285598535833,5158.793475603119
2026-01-15,260.75523472388574,199.80904615111916,138.97698635200237,5165.991582868695
2026-01-16,255.05026319653004,200.9085295259186,139.0019884059541,5186.338353998976
2026-01-20,248.12170113287027,195.6201164374565,132.54501759446146,5065.359946105662
2026-01-21,251.3095392376592,195.59198771924915,136.22395013396883,5115.461708681411
2026-01-22,248.66897012127114,197.38965777756346,137.5731267775043,5151.759631980265
2026-01-23,247.87823942392268,198.7634692625214,138.83220872313257,5122.184940412523
2026-01-26,246.34251335165004,198.5355680435827,136.31672437425087,5087.081823546282
2026-01-27,243.8687704509607,200.8806013734979,137.66472552406273,5102.264117007887
2026-01-28,238.459556947366,201.45527596860856,138.36913901389065,5047.627794258483
2026-01-29,242.01120928528908,205.9339172194911,139.07477938402045,5040.754466986413
2026-01-30,238.56178328594237,206.784116077631,138.2668221766867,5025.939317245621
2026-02-02,243.06544651907956,210.3444410134494,135.52303253990277,5100.056671886176
2026-02-03,238.82652042851382,212.12274407078365,131.73278627709544,5059.409697141425
2026-02-04,244.90477289539874,210.14567590445938,127.01423635588279,5024.798469665718
2026-02-05,242.54307618515926,211.5219555264252,125.81568889552881,4982.479519619637
2026-02-06,244.05442666288604,216.9001194782334,136.96218756193744,5127.1287614767225
2026-02-09,244.17365802434,219.77289961607914,139.47317660449704,5117.819340062647
2026-02-10,262.416220644704,220.45745187745098,137.61905641395205,5073.143947976514
2026-02-11,277.6697368297958,228.69452489323288,139.21858293720229,5091.082605705109
2026-02-12,283.87155528695155,227.80927304118575,137.04662489498966,5015.238757867627
2026-02-13,275.1450582328593,225.60437322391547,134.05559280165048,5019.1159724364115
2026-02-17,272.02816020243995,217.78329496221497,135.5656442731008,5021.555067401837
2026-02-18,267.05737736037423,224.72138982849225,138.41378350293672,5073.039302894249
2026-02-19,268.46710055200384,223.07710649344807,139.05865154471948,5084.4546961222995
2026-02-20,269.48961469215845,225.46347742657363,140.8417031157429,5132.93637678323
2026-02-23,261.82199380120335,223.66345793568235,141.3676906795897,5052.5499216650105
2026-02-24,273.88019643820184,225.89860804090247,142.7104366582895,5104.921505093519
2026-02-25,273.4443011308818,227.63337922440107,144.70998928504432,5146.248785514708
2026-02-26,274.3007309045815,234.169441263055,136.2031930211309,5095.767871851486
2026-02-27,278.38762774409184,238.36078250342646,131.17501317213566,5098.694645640613
2026-03-02,267.4881067900519,231.25382456789794,135.94601526850053,5133.000165832451
2026-03-03,266.2150053392967,217.74591469364816,134.0961180073014,5083.02430493362
2026-03-04,270.2819546472601,220.9667179618874,136.90435666935699,5144.29398106757
2026-03-05,264.74030105837926,216.6407612926561,136.96574433532734,5109.165848711838
2026-03-06,259.0971374422032,213.37038116057644,132.96278806055773,5045.9162713290225
2026-03-09,257.5928682293376,209.12392959668836,137.15264264231428,5109.361636332252
2026-03-10,255.20033600640755,217.33181206433446,137.46381582160404,5051.389020298019
2026-03-11,250.92994325870166,218.19821843166983,138.47002035409298,5049.39353899685
2026-03-12,247.1501323501927,216.39634212313678,136.69754047963204,4986.315513523558
2026-03-13,245.70192006978013,210.71349229756504,134.8362194271083,4966.999654938289
2026-03-16,249.51199425318956,211.519673710933,138.1426172553509,5057.0268786488405
2026-03-17,249.83665536263453,213.3338297727091,136.4830939120463,5044.253780953428
2026-03-18,244.5443934990759,215.49904104658413,134.87761047423453,4958.786813977544
2026-03-19,239.23556444321346,207.1286294254007,134.45253358311598,4980.368693496614
2026-03-20,231.67522711845143,201.3644491752901,128.48411873423666,4846.286659690587
2026-03-23,244.0859125989342,207.7419773159964,131.59419882415943,4936.408346037522
2026-03-24,237.14225786038753,205.85958003125546,130.35804184427684,4883.9711210801515
2026-03-25,237.3928635085999,211.35678218117096,133.02588010169856,4913.338565284202
2026-03-26,239.37229278283567,202.9174889837717,127.98973508102428,4846.859161015574
2026-03-27,235.29319453818133,195.2488956535022,125.47198069144301,4775.809496055602
2026-03-30,244.34038909875147,194.58407480222635,124.62086869605544,4791.9192576417245
2026-03-31,253.99951964435584,196.19748400818833,132.23989474890195,4956.060785441206
2026-04-01,255.61878600991406,206.4769932349683,132.55434692495913,4965.024288281126
2026-04-02,252.6720896992312,202.59798782323307,133.1941475409689,4948.405691872172
2026-04-07,249.92342488331886,200.28802272257067,134.41926522088394,4999.824499879387
2026-04-08,259.1387733793883,219.7667307016777,135.70447618846845,5061.129355133652
2026-04-09,259.967155540896,219.5222300693005,137.14736520387697,5095.291294765831
2026-04-10,259.0278461821821,223.03279436082866,140.29039958991385,5075.856544047648
2026-04-13,262.1153350462133,223.40436919923715,141.1705251855924,5141.129253019322
2026-04-14,261.95711166731894,229.34885606966466,145.22848366159386,5155.164307017189
2026-04-15,260.02019526657307,227.80882539597675,146.3230763191927,5173.316026416652
2026-04-16,259.6583016889736,229.37851745462387,145.9580985877766,5187.444500749224
2026-04-17,272.5067301597598,239.0075655684852,148.9304633590375,5268.367756996497
2026-04-20,276.4981280997215,234.5677010428672,149.67324086107058,5272.138073995491
2026-04-21,264.94224460647655,233.3325027368155,147.54535577819996,5220.514932292212
2026-04-22,265.4244850385269,234.45335535427728,149.71802920405574,5283.544750912422
2026-04-23,262.35561625149734,234.66061327212955,147.7051907922145,5265.333928362345
2026-04-24,261.3545662567934,235.7917335166776,154.47917645406037,5320.716951451606
2026-04-27,257.3491308769556,234.6746582957822,160.08596904551263,5308.069223597527
2026-04-28,253.1427355277843,230.94648272193268,157.27472063786274,5273.074482804166
2026-04-29,249.5770940106151,231.66436506546177,154.53934582647835,5276.321821605787
2026-04-30,257.4767383808563,229.16952283436294,147.78236888817597,5344.521700689921
2026-05-04,249.5394436597954,221.50277241684552,145.9706932050174,5301.912394196361
2026-05-05,240.50667373565423,232.22293797494902,145.04837384654323,5364.708993022547
2026-05-06,247.8128841780473,240.34572896516022,152.99032116219502,5428.0198024029505
2026-05-07,248.28281311216776,234.2019634834934,155.42785854573128,5398.205189046829
2026-05-08,250.58931450229966,232.27436717035542,158.5682298417947,5458.190784167157
2026-05-11,242.1970774827555,237.74691084884788,161.2277634490765,5452.736720994332
2026-05-12,242.01927806743706,229.70490706153177,162.09321135310898,5440.001620686038
2026-05-13,246.05891757942734,232.7638458936427,166.63003717969718,5499.186758321401
2026-05-14,245.60284911282497,234.6923867713611,174.07970218627636,5545.666960144324
2026-05-15,239.85611166753267,229.70535774724863,168.0618457898521,5532.297433860486
2026-05-18,244.03217528959902,227.71103535563424,166.85679172760302,5562.651749632814
2026-05-19,245.42859559396425,222.0293467390759,164.05075193992255,5474.689441370288
2026-05-20,255.15773841676216,229.2755219195952,166.62391965687442,5548.637790834572
2026-05-21,260.07893795996273,228.97989052503007,163.20863091659564,5542.445189145156
2026-05-22,259.2507420098821,232.72004960944113,160.1179576508576,5563.699612106591
2026-05-26,244.44350291867494,235.5558450851669,159.01303352112816,5571.216513319347
2026-05-27,247.649115228144,232.61347405998478,157.82039092784032,5589.13168332086
2026-05-28,258.1519797835354,231.43537772492203,159.50533386870015,5637.551592865808
2026-05-29,253.0630706054233,233.9842858369495,156.86310683511314,5638.048413895922
2026-06-01,259.6285023722614,239.1984044999082,166.59730153220158,5649.886261373335
2026-06-02,262.86028708710285,248.23645312886777,165.34961050628692,5653.624580420559
2026-06-03,255.97874650149083,244.86217439987297,159.42927438341712,5614.348481814486
2026-06-04,260.6064297037201,243.70736717349848,162.84922464188546,5648.490770146593
2026-06-05,258.4270418197586,232.77441398101814,152.75192180254174,5499.173463321503
2026-06-08,263.63179439962454,233.73369141099795,156.45287219254922,5553.334593157083
2026-06-09,268.13998376905965,227.7856263216331,156.14249717764565,5539.987261653326
2026-06-10,259.1644963510313,222.3142465674252,149.8780824389503,5434.400615614149
2026-06-11,273.6263574068827,228.1831546535394,153.32266083509563,5533.820218127212
2026-06-12,264.58542217589894,229.00301928278503,152.96915517185604,5540.153703359412
2026-06-15,274.3998083393478,233.06874378036284,157.95870273108451,5616.690382515628
2026-06-16,272.905598573753,239.3090898153409,154.5990507325652,5598.80224827246
2026-06-17,263.86772217921475,244.52150687782773,152.4233033745036,5526.490114758179
2026-06-18,272.2529583792911,251.76276047798402,158.39885039124357,5639.01109628054
2026-06-22,263.7957620959837,254.1012137701685,157.97308429488788,5657.798827180841
2026-06-23,260.33546891542454,241.1104059318968,151.0061941929385,5560.038564842041
2026-06-24,264.20255456357717,241.89375240942366,150.75643973663614,5574.367248180853
2026-06-25,267.4959211973518,241.1576941927838,148.66454080015876,5588.014082145365
2026-06-26,279.30118385685245,237.83674756373142,145.9897299279099,5576.333056369694
2026-06-29,279.105960474274,239.9275237174126,147.7365748911392,5637.911796709146
2026-06-30,280.8890989939153,245.90939174083928,150.96590695171514,5658.192233687157
2026-07-01,282.74839266530887,238.30237070317688,149.10966581562909,5647.443624194826
2026-07-02,289.9016592291762,236.41208826735945,146.71673278268074,5635.254054801333
2026-07-06,293.46001714608786,238.42359867355077,146.44543815057222,5644.705944236023
2026-07-07,288.8438981230305,228.938518139544,146.98578303630725,5600.768412188735
2026-07-08,280.94434417244344,225.38339448014483,152.91138934842547,5605.485026400098
2026-07-09,279.68367772625214,230.33612708715418,151.37121679169982,5631.176612130471
2026-07-10,280.7474714839405,229.90024959858718,157.2495915614181,5646.695899726262
2026-07-13,278.61605791056417,228.7926928054976,152.03690346962927,5613.958655818083
2026-07-14,276.56731075286604,232.8992552888884,158.67633730735554,5651.507031672265
2026-07-15,280.46360087219557,230.38742433968207,158.61637497825518,5652.266458331572
2026-07-16,282.5284233769122,223.96088799474015,153.16115672686044,5563.5533493866105
2026-07-17,279.5701784525855,222.88748202242937,150.46474333207306,5532.860393431459
2026-07-20,276.2994148973377,224.98364802330912,151.17933458214102,5535.567157545787
2026-07-21,275.44637071905595,228.45486358915002,154.3294757646628,5590.674741133335
2026-07-22,277.7524530508892,229.27374172712294,158.5000049450833,5604.9476779002625
2026-07-23,268.73533128353506,226.4504969715044,156.07941770946542,5538.815626357513
2026-07-24,270.5227784315576,229.0829790810666,155.36993453704835,5567.582985614197
2026-07-27,284.62370203001046,226.75659007099532,147.18402327593665,5552.397913801498
2026-07-28,293.56084307397487,224.14811418277174,148.24016483810715,5589.7851408718725
2026-07-29,290.2703116855386,220.07591954366464,143.00152967342146,5506.134717127049
2026-07-30,297.53944594578564,244.1577218961931,145.908254184069,5564.046497255448
2026-07-31,292.6020929949786,247.92398445799063,149.13517378053936,5564.038484723992
2026-08-03,297.4287320885233,248.23301474759194,153.16156599930514,5633.490543051338
2026-08-04,299.98510998115665,256.4662821684847,157.84613221035525,5761.912559138533
2026-08-05,302.43137521819466,257.56664568605083,162.97691355451286,5741.9957204783195
2026-08-06,302.36874783059056,257.9814687460292,162.58037209498266,5723.951449125679
2026-08-07,306.39165202685854,260.1329481539449,166.4470839265228,5765.478389888959
2026-08-10,301.5186665871391,258.9264268769295,161.25916023266242,5747.000543350277
2026-08-11,303.6416328432761,261.2979863438878,160.97609703939054,5719.795423358445
2026-08-12,301.4168306877308,265.7574413358481,165.87141254475688,5735.439605099986
2026-08-13,305.44917113243565,264.2033228684453,166.91575774821735,5777.959818059106
2026-08-14,307.50755268188357,262.08192780715893,166.8998449302239,5771.194157097374
2026-08-17,307.8990502432647,263.80321004813777,166.10012608511695,5717.325824076414
2026-08-18,304.37661156394427,252.26318103249562,162.16593419925044,5676.44205355037
2026-08-19,314.0932203009217,251.4367703875525,160.71809920262922,5694.116129134525
2026-08-20,314.980446715828,252.62451188168566,159.44980407446573,5618.5448721365
2026-08-21,319.96198582541854,254.26850834935868,157.37901828519963,5624.9293411599865
2026-08-24,310.86409732908004,249.66842856714467,152.69283128410768,5605.031004855138
2026-08-25,309.0304296875921,253.46509318835385,156.07190478947544,5624.067883162533
